CharacterName,1.0,1.1,1.2,1.3,1.4,1.5,1.6,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,4.0,avg
Albedo,,18.8,56.9,45.8,50.3,55.6,23.2,47.2,30.4,37.6,61.4,42.0,39.7,10.0,53.0,22.2,16.1,14.2,17.6,30.1,11.2,5.0,8.0,5.4,3.7,5.6,28.44
Alhaitham,,,,,,,,,,,,,,,,,,,,21.8,52.6,41.3,43.3,26.8,49.0,39.3,39.15714286
Arataki Itto,,,,,,,,,,,,39.0,34.5,10.4,39.8,10.3,12.0,12.9,16.6,37.7,12.3,11.6,12.4,8.0,6.5,10.9,18.32666667
Baizhu,,,,,,,,,,,,,,,,,,,,,,,59.0,47.5,52.7,37.1,49.075
Cyno,,,,,,,,,,,,,,,,,,27.2,17.3,33.3,16.4,11.3,14.0,8.8,8.8,9.9,16.33333333
Dehya,,,,,,,,,,,,,,,,,,,,,24.6,13.6,5.3,4.5,2.1,9.0,9.85
Eula,,,,,,,40.6,37.5,38.3,27.7,44.1,26.0,11.9,9.9,14.5,6.3,6.6,8.2,5.5,6.2,6.2,4.4,4.0,6.6,8.0,8.1,16.03
Ganyu,,,61.3,72.9,87.2,94.9,88.7,71.7,44.7,45.6,47.4,49.0,30.0,64.7,18.6,11.1,20.0,31.0,30.3,23.4,12.7,19.3,9.4,11.8,11.9,5.7,40.1375
Hu Tao,,,,,79.3,75.4,72.6,68.2,62.3,54.4,58.2,52.0,55.8,27.9,64.8,64.2,50.0,44.8,53.3,39.1,36.3,45.6,30.3,40.5,22.8,37.3,51.59545455
Kaedehara Kazuha,,,,,,,85.8,85.3,81.6,85.7,83.5,79.0,78.8,90.9,79.8,88.1,83.9,84.7,77.5,67.8,72.3,71.5,59.7,90.4,77.3,73.1,79.835
Kamisato Ayaka,,,,,,,,64.4,75.0,74.5,61.5,84.0,47.2,84.8,28.9,30.0,46.2,60.2,36.2,29.6,26.5,45.4,25.9,42.6,43.5,22.5,48.88947368
Kamisato Ayato,,,,,,,,,,,,,,52.0,33.3,31.4,19.2,24.5,24.8,28.8,26.5,19.4,21.0,17.8,27.0,23.6,26.86923077
Keqing,,,,30.4,17.6,16.3,12.6,6.5,5.6,4.3,5.0,4.0,3.8,2.4,1.7,1.8,8.1,10.9,9.2,9.9,8.6,5.9,5.7,6.3,4.4,6.4,8.147826087
Klee,,97.0,74.1,73.7,41.1,27.5,36.5,17.3,10.1,4.5,8.0,5.0,2.9,1.9,13.2,28.9,5.5,2.8,5.4,11.1,2.4,5.2,2.0,10.2,3.1,6.3,19.828
Lyney,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,34.3
Nahida,,,,,,,,,,,,,,,,,,52.9,74.4,75.3,83.8,74.4,89.5,96.6,87.1,75.9,78.87777778
Nilou,,,,,,,,,,,,,,,,,,47.8,49.2,37.9,47.3,21.0,67.5,17.1,58.5,29.6,41.76666667
Raiden Shogun,,,,,,,,,86.1,84.2,83.5,74.0,62.3,45.2,73.3,58.6,59.4,81.3,51.2,72.1,73.9,71.6,71.0,52.9,56.0,64.4,67.83333333
Sangonomiya Kokomi,,,,,,,,,26.7,50.5,61.7,74.0,65.0,83.2,47.1,41.6,50.9,70.8,67.2,68.4,59.8,60.6,65.4,50.1,74.0,58.7,59.76111111
Shenhe,,,,,,,,,,,,,38.8,59.6,24.8,28.5,35.8,46.9,16.3,20.2,17.8,42.2,23.5,38.9,42.9,25.0,32.94285714
Tartaglia,,73.7,62.5,42.9,36.1,37.2,40.6,33.8,21.0,30.5,30.4,29.0,35.8,42.4,18.7,39.0,39.5,23.6,39.2,24.5,29.3,22.7,19.2,16.0,30.7,23.6,33.676
Tighnari,,,,,,,,,,,,,,,,,25.8,17.5,21.6,12.8,16.2,21.0,16.3,7.4,11.3,6.2,15.61
Venti,,100.0,96.1,97.1,65.6,92.7,83.7,66.7,50.1,46.9,27.3,22.0,11.1,71.1,25.5,25.3,25.4,26.0,24.7,6.9,8.4,5.7,6.4,17.0,9.0,6.7,40.696
Wanderer,,,,,,,,,,,,,,,,,,,8.4,26.9,18.8,14.3,13.2,14.9,20.9,23.3,17.5875
Xiao,,,,30.3,71.9,73.1,71.1,43.4,26.9,21.8,37.9,20.0,7.2,14.4,21.3,12.5,8.9,10.0,8.6,13.2,10.2,6.2,4.7,3.9,5.5,3.6,22.89565217
Yae Miko,,,,,,,,,,,,,42.5,27.0,31.8,36.1,28.2,31.4,25.6,33.1,41.4,44.2,33.6,28.9,33.6,25.7,33.07857143
Yelan,,,,,,,,,,,,,,,75.7,81.0,75.3,71.6,82.4,67.7,68.8,76.4,84.6,68.2,72.0,79.7,75.28333333
Yoimiya,,,,,,,,,34.9,17.3,20.0,27.0,30.2,9.4,48.9,37.7,31.6,20.2,48.1,23.5,10.4,15.0,6.4,12.2,4.6,9.6,22.61111111
Zhongli,,51.9,70.7,87.6,97.3,83.5,93.7,90.0,82.7,76.9,84.6,68.0,93.6,65.1,82.4,82.1,78.2,65.3,78.4,86.7,77.1,61.7,63.0,63.7,49.2,54.6,75.52
