version,version_name,start_date,end_date,5_star_characters,rerun,mixed,revenue,banner_days
1.0,Welcome to Tevyat,09/25/2020,10/19/2020,Venti,N,N,"30,632,752",24
1.0,Welcome to Tevyat,10/20/2020,11/10/2020,Klee,N,N,"22,750,080",21
1.1,A New Star Approaches,11/11/2020,12/1/2020,Tartaglia,N,N,"13,443,619",20
1.1,A New Star Approaches,12/01/2020,12/22/2020,Zhongli,N,N,"16,264,892",21
1.2,The Chalk Prince and the Dragon,12/23/2020,01/12/2021,Albedo,N,N,"11,816,107",20
1.2,The Chalk Prince and the Dragon,01/13/2021,02/02/2021,Ganyu,N,N,"15,669,918",20
1.3,All That Glitters,02/03/2021,02/17/2021,Xiao,N,N,"13,145,115",14
1.3,All That Glitters,02/17/2021,03/02/2021,Keqing,N,N,"9,505,798",13
1.3,All That Glitters,03/02/2021,03/16/2021,Hu Tao,N,N,"12,481,634",14
1.4,Invitation to Windblume,03/17/2021,04/06/2021,Venti (Rerun),Y,N,"16,614,209",20
1.4,Invitation to Windblume,04/06/2021,04/27/2021,Tartaglia (Rerun),Y,N,"6,965,445",21
1.5,Beneath the Light of Jadeite,04/28/2021,05/18/2021,Zhongli (Rerun),Y,N,"10,215,165",20
1.5,Beneath the Light of Jadeite,05/18/2021,06/08/2021,Eula,N,N,"12,619,390",21
1.6,Midsummer Island Adventure,06/08/2021,06/29/2021,Klee (Rerun),Y,N,"7,006,180",21
1.6,Midsummer Island Adventure,06/30/2021,07/20/2021,Kaedehara Kazuha,N,N,"9,807,112",20
2.0,Immovable God and the Eternal Euthymia,07/21/2021,08/10/2021,Kamisato Ayaka,N,N,"16,451,006",20
2.0,Immovable God and the Eternal Euthymia,08/11/2021,08/31/2021,Yoimiya,N,N,"8,615,144",20
2.1,Floating World Under the Moonlight,09/01/2021,09/20/2021,Raiden Shogun,N,N,"33,020,905",19
2.1,Floating World Under the Moonlight,09/21/2021,10/12/2021,Sangonomiya Kokomi,N,N,"7,020,975",21
2.2,Into the Perilous Labyrinth of Fog,10/13/2021,11/02/2021,Tartaglia (2nd Rerun),Y,N,"7,785,438",20
2.2,Into the Perilous Labyrinth of Fog,11/02/2021,11/23/2021,Hu Tao (Rerun),Y,N,"25,226,952",21
2.3,Shadows Amidst Snowstorms,11/24/2021,12/14/2021,Albedo (Rerun) & Eula (Rerun),Y,Y,"17,026,066",20
2.3,Shadows Amidst Snowstorms,12/14/2021,01/04/2022,Arataki Itto,N,N,"13,404,072",21
2.4,Fleeting Colors in Flight,01/05/2022,01/25/2022,Shenhe & Xiao (Rerun),Y,Y,"16,994,406",20
2.4,Fleeting Colors in Flight,01/25/2022,02/15/2022,Ganyu (Rerun) & Zhongli (2nd Rerun),Y,Y,"26,780,298",21
2.5,When the Sakura Bloom,02/16/2022,03/08/2022,Yae Miko,N,N,"15,110,264",20
2.5,When the Sakura Bloom,03/08/2022,03/29/2022,Raiden Shogun (Rerun) &  Kokomi (Rerun),Y,Y,"33,560,259",21
2.6,Zephyr of the Violet Garden,03/30/2022,04/19/2022,Kamisato Ayato & Venti (2nd Rerun),Y,Y,"22,767,455",20
2.6,Zephyr of the Violet Garden,04/19/2022,05/31/2022,Kamisato Ayaka (Rerun),Y,N,"35,939,066",42
2.7,Hidden Dreams in the Depths,05/31/2022,06/21/2022,Yelan & Xiao (2nd Rerun),Y,Y,"32,177,144",21
2.7,Hidden Dreams in the Depths,06/21/2022,07/12/2022,Arataki Itto (Rerun),Y,N,"12,586,764",21
2.8,Summer Fantasia,07/13/2022,08/02/2022,Kaedehara Kazuha (Rerun) & Klee (2nd Rerun),Y,Y,"24,808,479",20
2.8,Summer Fantasia,08/02/2022,08/23/2022,Yoimiya (Rerun),Y,N,"14,333,266",21
3.0,The Morn a Thousand Roses Brings,08/23/2022,09/09/2022,Tighnari & Zhongli (3rd Rerun),Y,Y,"19,068,372",17
3.0,The Morn a Thousand Roses Brings,09/09/2022,09/27/2022,Ganyu (2nd Rerun) &  Kokomi (2nd Rerun),Y,Y,"15,681,840",18
3.1,King Deshret and the Three Magi,09/27/2022,10/14/2022,Cyno & Venti (3rd Rerun),Y,Y,"19,052,023",17
3.1,King Deshret and the Three Magi,10/14/2022,11/01/2022,Nilou & Albedo (2nd Rerun),Y,Y,"15,731,680",18
3.2,"Akasha Pulses, the Kalpa Flame Rises",11/01/2022,11/18/2022,Nahida & Yoimiya (2nd Rerun),Y,Y,"32,101,943",17
3.2,"Akasha Pulses, the Kalpa Flame Rises",11/18/2022,12/6/2022,Tartaglia & Yae Miko,Y,Y,"18,437,409",18
3.3,"	All Senses Clear, All Existence Void",12/7/2022,12/27/2022,Arataki Itto & Wanderer,Y,Y,"27,126,505",20
3.3,"	All Senses Clear, All Existence Void",12/27/2022,1/17/2023,Kamisato Ayato & Raiden Shogun,Y,Y,"37,919,130",21
3.4,	The Exquisite Night Chimes,1/18/2023,2/7/2023,Xiao & Alhaitham	,Y,Y,"18,361,860",20
3.4,	The Exquisite Night Chimes,2/7/2023,2/28/2023,Yelan & Hu Tao,Y,Y,"46,556,153",21
3.5,Windblume's Breath,3/1/2023,3/21/2023,Cyno & Dehya,Y,Y,"13,198,046",20
3.5,Windblume's Breath,3/21/2023,4/11/2023,Kamisato Ayaka & Shenhe,Y,Y,"35,962,024",21
3.6,A Parade of Providence,4/12/2023,5/2/2023,Nilou & Nahida,Y,Y,"28,019,235",20
3.6,A Parade of Providence,5/2/2023,5/23/2023,Baizhu & Ganyu,Y,Y,"9,108,580",21
3.7,Duel! The Summoners' Summit!,5/24/2023,6/13/2023,Yae Miko & Yoimiya,Y,Y,"9,154,188",20
3.7,Duel! The Summoners' Summit!,6/13/2023,7/4/2023,Alhaitham & Kaedehara Kazuha,Y,Y,"17,459,928",21
3.8,Secret Summer Paradise,7/5/2023,7/25/2023,Klee & Eula,Y,Y,"6,458,188",20
3.8,Secret Summer Paradise,7/25/2023,8/15/2023,Wanderer & Sangonomiya Kokomi,Y,Y,"9,129,631",21
4.0,As Light Rain Falls Without Reason,8/16/2023,09/05/2023,Lyney & Yelan,Y,Y,"11,473,539",20
4.0,As Light Rain Falls Without Reason,09/05/2023,09/26/2023,Zhongli & Tartaglia,Y,Y,"9,039,617",21
