version,version_name,start_date,end_date,5_star_characters,rerun,mixed,revenue,banner_days
1.0,Welcome to Tevyat,2020-09-25,2020-10-19,Venti,N,N,30632752,24
1.0,Welcome to Tevyat,2020-10-20,2020-11-10,Klee,N,N,22750080,21
1.1,A New Star Approaches,2020-11-11,2020-12-01,Tartaglia,N,N,13443619,20
1.1,A New Star Approaches,2020-12-01,2020-12-22,Zhongli,N,N,16264892,21
1.2,The Chalk Prince and the Dragon,2020-12-23,2021-01-12,Albedo,N,N,11816107,20
1.2,The Chalk Prince and the Dragon,2021-01-13,2021-02-02,Ganyu,N,N,15669918,20
1.3,All That Glitters,2021-02-03,2021-02-17,Xiao,N,N,13145115,14
1.3,All That Glitters,2021-02-17,2021-03-02,Keqing,N,N,9505798,13
1.3,All That Glitters,2021-03-02,2021-03-16,Hu Tao,N,N,12481634,14
1.4,Invitation to Windblume,2021-03-17,2021-04-06,Venti (Rerun),Y,N,16614209,20
1.4,Invitation to Windblume,2021-04-06,2021-04-27,Tartaglia (Rerun),Y,N,6965445,21
1.5,Beneath the Light of Jadeite,2021-04-28,2021-05-18,Zhongli (Rerun),Y,N,10215165,20
1.5,Beneath the Light of Jadeite,2021-05-18,2021-06-08,Eula,N,N,12619390,21
1.6,Midsummer Island Adventure,2021-06-08,2021-06-29,Klee (Rerun),Y,N,7006180,21
1.6,Midsummer Island Adventure,2021-06-30,2021-07-20,Kaedehara Kazuha,N,N,9807112,20
2.0,Immovable God and the Eternal Euthymia,2021-07-21,2021-08-10,Kamisato Ayaka,N,N,16451006,20
2.0,Immovable God and the Eternal Euthymia,2021-08-11,2021-08-31,Yoimiya,N,N,8615144,20
2.1,Floating World Under the Moonlight,2021-09-01,2021-09-20,Raiden Shogun,N,N,33020905,19
2.1,Floating World Under the Moonlight,2021-09-21,2021-10-12,Sangonomiya Kokomi,N,N,7020975,21
2.2,Into the Perilous Labyrinth of Fog,2021-10-13,2021-11-02,Tartaglia (2nd Rerun),Y,N,7785438,20
